iter	RMSE
549	0.3580496124
550	0.357931891
551	0.3579297227
552	0.3578884056
553	0.3578764517
554	0.3577823173
555	0.3577445274
556	0.3577201051
557	0.3576670864
558	0.3576437965
559	0.3576376229
560	0.3575577503
561	0.3575222249
562	0.3574197704
563	0.3573329004
564	0.3572862327
565	0.3572376764
566	0.3571934833
567	0.3571697247
568	0.3571391507
569	0.3571066133
570	0.3571016423
571	0.3570328814
572	0.3569632057
573	0.3569198632
574	0.3568583777
575	0.356842961
576	0.356776184
577	0.3567246432
578	0.3566739256
579	0.3566319453
580	0.3565677506
581	0.356516031
582	0.3565155833
583	0.3564716321
584	0.3564093554
585	0.3563434286
586	0.3562806229
587	0.3562265218
588	0.3561934517
589	0.3561391233
590	0.3560823546
591	0.3560276789
592	0.3559744297
593	0.3559262414
594	0.3558683509
595	0.3558142276
596	0.3557693861
597	0.3557150214
598	0.3557131172
599	0.3556948906
600	0.3556631011
601	0.3556163682
602	0.3555091785
603	0.3554279162
604	0.3554019532
605	0.3553971857
606	0.3553647021
607	0.3553509439
608	0.3552910531
609	0.3552463366
610	0.3551682731
611	0.3551406533
612	0.3550935685
613	0.3550614227
614	0.3549908964
615	0.3549437083
616	0.3549133577
617	0.3548478402
618	0.3548059616
619	0.3547600882
620	0.3547001958
621	0.3546228313
622	0.3545526795
623	0.3545226312
624	0.3544869668
625	0.3543861341
626	0.3543399453
627	0.3543272986
628	0.3542603388
629	0.3542013521
630	0.3541700884
631	0.3540928743
632	0.3540406073
633	0.3539895714
634	0.3539434344
635	0.3538778697
636	0.3537896268
637	0.353780899
638	0.3536961005
639	0.353673204
640	0.3535835398
641	0.3535800511
642	0.3535252349
643	0.3534711473
644	0.3534598435
645	0.3534083649
646	0.3533648378
647	0.3533361899
648	0.3533138375
649	0.3532684966
