iter	Passed	Remaining
399	47588	29742
400	47697	29617
401	47805	29492
402	47918	29369
403	48029	29245
404	48140	29121
405	48254	29000
406	48370	28879
407	48485	28758
408	48599	28637
409	48717	28517
410	48830	28395
411	48944	28273
412	49055	28150
413	49165	28026
414	49274	27902
415	49380	27776
416	49493	27654
417	49562	27508
418	49673	27385
419	49786	27264
420	49928	27158
421	50042	27037
422	50171	26924
423	50292	26806
424	50406	26685
425	50519	26564
426	50630	26441
427	50746	26321
428	50850	26195
429	50963	26074
430	51078	25953
431	51191	25832
432	51304	25711
433	51418	25590
434	51528	25467
435	51642	25347
436	51786	25241
437	51904	25122
438	52021	25003
439	52135	24882
440	52247	24761
441	52369	24644
442	52483	24524
443	52601	24405
444	52710	24282
445	52817	24158
446	52929	24037
447	53041	23915
448	53154	23795
449	53266	23674
450	53377	23552
451	53490	23431
452	53608	23313
453	53718	23191
454	53839	23073
455	53954	22954
456	54070	22834
457	54179	22712
458	54287	22590
459	54395	22467
460	54505	22346
461	54619	22226
462	54734	22106
463	54854	21988
464	54977	21872
465	55083	21749
466	55191	21627
467	55309	21509
468	55417	21387
469	55542	21271
470	55658	21152
471	55771	21032
472	55921	20926
473	56072	20820
474	56241	20720
475	56393	20614
476	56537	20505
477	56710	20406
478	56856	20297
479	57004	20189
480	57278	20124
481	57445	20022
482	57575	19906
483	57701	19790
484	57828	19673
485	57966	19560
486	58132	19457
487	58266	19342
488	58421	19234
489	58567	19124
490	58702	19009
491	58850	18899
492	58988	18785
493	59127	18671
494	59267	18558
495	59416	18447
496	59552	18333
497	59680	18215
498	59820	18102
499	59964	17989
500	60105	17875
501	60240	17760
502	60364	17641
503	60517	17530
504	60660	17417
505	60787	17299
506	60927	17184
507	61060	17068
508	61200	16953
509	61338	16838
510	61471	16721
511	61613	16606
512	61750	16490
513	61892	16376
514	62026	16259
515	62158	16141
516	62297	16026
517	62431	15909
518	62565	15791
519	62701	15675
520	62842	15559
521	62980	15443
522	63083	15318
523	63226	15203
524	63370	15088
525	63514	14973
526	63662	14858
527	63805	14742
528	63949	14627
529	64091	14511
530	64229	14394
531	64364	14276
532	64491	14156
533	64627	14039
534	64763	13921
535	64900	13803
536	65034	13685
537	65172	13567
538	65302	13448
539	65428	13328
540	65563	13209
541	65696	13090
542	65827	12971
543	65960	12852
544	66095	12733
545	66227	12614
546	66358	12495
547	66497	12377
548	66634	12258
549	66760	12138
550	66894	12019
551	66973	11890
552	67121	11773
553	67251	11653
554	67380	11533
555	67509	11413
556	67640	11293
557	67778	11174
558	67908	11054
559	68044	10935
560	68183	10817
561	68314	10697
562	68453	10578
563	68586	10458
564	68721	10338
565	68858	10219
566	68988	10098
567	69122	9979
568	69258	9859
569	69381	9737
570	69513	9617
571	69643	9496
572	69775	9376
573	69919	9257
574	70055	9137
575	70189	9017
576	70323	8897
577	70456	8776
578	70591	8656
579	70719	8535
580	70844	8413
581	70974	8292
582	71061	8166
583	71188	8045
584	71320	7924
585	71461	7804
586	71600	7684
587	71739	7564
588	71890	7445
589	72034	7325
590	72168	7204
591	72294	7082
592	72429	6962
593	72568	6841
594	72708	6720
595	72845	6600
596	72973	6478
597	73093	6355
598	73161	6229
599	73306	6108
600	73426	5986
601	73544	5864
602	73679	5742
603	73805	5620
604	73929	5498
605	74066	5377
606	74194	5255
607	74329	5134
608	74494	5015
609	74616	4892
610	74731	4770
611	74850	4647
612	74972	4525
613	75110	4403
614	75280	4284
615	75419	4162
616	75546	4040
617	75664	3917
618	75810	3796
619	75949	3674
620	76078	3552
621	76203	3430
622	76328	3307
623	76471	3186
624	76695	3067
625	76855	2946
626	76997	2824
627	77131	2702
628	77255	2579
629	77380	2456
630	77520	2334
631	77670	2212
632	77813	2089
633	77955	1967
634	78100	1844
635	78234	1722
636	78362	1599
637	78491	1476
638	78628	1353
639	78761	1230
640	78906	1107
641	79048	985
642	79179	861
643	79301	738
644	79420	615
645	79549	492
646	79677	369
647	79802	246
648	79929	123
649	80057	0
