Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1-Score,Train-Test Difference
Logistic Regression + Pipeline A,0.8189232766563364,0.8188290476589329,0.8112687698030032,0.665799886941775,0.731371087928465,9.422899740341162e-05
Logistic Regression + Pipeline B,0.8125680542759025,0.8133009464779295,0.8082923401264933,0.6501978518937253,0.7206766917293234,-0.0007328922020269912
Decision Tree + Pipeline A,0.9963355389898652,0.8602060474076556,0.8084462865464321,0.8159412097230073,0.8121764573486383,0.13612949158220955
Decision Tree + Pipeline B,0.9963355389898652,0.8600385291900494,0.8078084796957155,0.8163934426229508,0.8120782726045884,0.13629700979981574
